"ProductID","NameE","NameF","LanguageID","ApprovalDate","CompanyID","SubCategoryID","LastUpdate"
S374-110A,ALSAN TRAFIK EP 110A,ALSAN TRAFIK EP 110A,E,"2014-09-22 00:00:00",S374,10,"2013-02-01 12:29:37"
S374-110B,ALSAN TRAFIK EP 110B,ALSAN TRAFIK EP 110B,E,"2014-09-22 00:00:00",S374,10,"2013-02-01 12:29:37"
