"AcronymTypeID","DescriptionE","DescriptionF","htmlStart","htmlMid","htmlEnd","LastUpdate"
1,Acronym,Acronyme,<abbr title=','>,</abbr>,"2004-09-17 15:50:17"
2,Abbreviation,Abréviation,<abbr title=','>,</abbr>,"2004-09-17 15:50:21"
