"PRODUCT CODE","PRODUCT NAME","FRENCH PRODUCT NAME","language","ACCEPTANCE DATE","COMPANY CODE","SUB_CAT"
B163-681,COROTECH Polyamide Epoxy Coating - Tintable White and Gloss Catalyst (V400.86FR & V400.90FR),COROTECH Polyamide Epoxy Coating - Tintable White and Gloss Catalyst (V400.86FR & V400.90FR),E,"2014-12-29 00:00:00",B163,"10"
B163-682,COROTECH Polyamide Epoxy Coating - Tintable White and Gloss Catalyst (V400.86FR & V400.90FR),COROTECH Polyamide Epoxy Coating - Tintable White and Gloss Catalyst (V400.86FR & V400.90FR),E,"2014-12-29 00:00:00",B163,"11"
B163-683,COROTECH Polyamide Epoxy Coating - Tintable White and Semi-Gloss Catalyst (V400.86FR & V400.91FR),COROTECH Polyamide Epoxy Coating - Tintable White and Semi-Gloss Catalyst (V400.86FR & V400.91FR),E,"2014-12-29 00:00:00",B163,"9"
B163-684,COROTECH Polyamide Epoxy Coating - Tintable White and Semi-Gloss Catalyst (V400.86FR & V400.91FR),COROTECH Polyamide Epoxy Coating - Tintable White and Semi-Gloss Catalyst (V400.86FR & V400.91FR),E,"2014-12-29 00:00:00",B163,"10"
B163-685,COROTECH Polyamide Epoxy Coating - Tintable White and Semi-Gloss Catalyst (V400.86FR & V400.91FR),COROTECH Polyamide Epoxy Coating - Tintable White and Semi-Gloss Catalyst (V400.86FR & V400.91FR),E,"2014-12-29 00:00:00",B163,"11"
B163-686,COROTECH 100% Solids Epoxy Floor Coating – Clear and Catalyst (V430.00FR & V430.90FR),COROTECH 100% Solids Epoxy Floor Coating – Clear and Catalyst (V430.00FR & V430.90FR),E,"2014-12-29 00:00:00",B163,"10"
B163-687,COROTECH 100% Solids Epoxy Floor Coating - White and Catalyst (V430.01FR & V430.90FR),COROTECH 100% Solids Epoxy Floor Coating - White and Catalyst (V430.01FR & V430.90FR),E,"2014-12-29 00:00:00",B163,"10"
B163-688,COROTECH ACRYLIC Metal Primer - White,COROTECH ACRYLIC Metal Primer - White,E,"2014-10-31 00:00:00",B163,"9"
B163-689,COROTECH ACRYLIC Metal Primer - White,COROTECH ACRYLIC Metal Primer - White,E,"2014-10-31 00:00:00",B163,"11"
B163-690,COROTECH PRE-CATALYZED WATERBORNE Epoxy Semigloss - Accent Base,COROTECH PRE-CATALYZED WATERBORNE Epoxy Semigloss - Accent Base,E,"2014-10-31 00:00:00",B163,"9"
